"Cliente";"Data da Operação";"Código";"Corretora";"Qtd.";"Preço de Mercado";"Valor de Mercado";"% S/ FU";"% S/ Total";"Código Isin";"Bolsa";"IRRF sobre Pos. Própria";"Ajuste Equalização";"Ajuste Valorização";"Tipo";"Objeto da Opção";"Exercício";"Data de Vencimento";"Custo Médio c/ Corretagem";"Cotação";"Custo Total";"Resultado";"Quantidade Disponível";"Quantidade Bloqueada";"Quantidade Total";"% S/ RV";"Valor de Mercado Bruto";"Valor de Mercado Líquido";"IC_ADR";"IC_BDR";"Tipo";"Praça";"VL_VENCIMENTO";"Data de Vencimento";"Resgate";"Código da Operação";"Data da Operação";"Preço";"Financeiro";"% Remuneração";"% Mercado";"RemuneraçãoBruta";"IR";"RemuneraçãoLíquida";"IC_TIPO_MOVIMENTO";"Fundo";"Instituição";"% S/ FI";"Aplic. / Resg.";"Valor Atual";"Impostos";"Valor Líquido";"Data de Aplicação";"Data de Emissão";"Data de Vencimento do Lastro";"Emitente";"Lastro";"Papel";"Index.";"MTM % AA";"Tx. Over";"Taxa % AA";"PU Atual";"Valor Aplicação";"Valor Resgate";"Valor Bruto";"MTM";"Negociação / Vencimento";"Operação a Termo";"Origem";"IC_REG_VENDA_TERMO";"Partida";"Início Valoriz.";"Contra Partida";"Indexador";"MTM % AA";"Taxa % AA";"Valor";"Indexador";"MTM % AA";"Taxa % AA";"Valor";"Aprop. Acum. Bruta";"Aprop. Acum. Líquida";"Principal";"% S/ SW";"SG_MTM_ATIVO";"SG_MTM_PASSIVO";"PC_SOA";"CD_TIPO_ATIVO";"DS_TIPO_ATIVO";"Descrição";"Histórico Traduzido";"% S/ CPR";"Valor";"Benchmark %";"Rent. Real %";"Variação Diária %";"Variação Mensal %";"Variação Anual %";"Últimos 6 Meses %";"Últimos 12 Meses %";"PC_ULT_6F_MESES";"PC_ULT_12F_MESES";"Patrimônio"
"CUST0347       ";"14/08/2024";"CUST1190";"";"0";"0";"0,00";"0,00";"71,98";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,23259433";"0,00";"0,00";"0";"0,00000000";"15.716.349,24312460";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"FEF VOTO FIRF CDI CD";"SANT    ";"72,24";"0,00";"35.088.232,21";"0,00";"35.088.232,21";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"CUST1192";"";"0";"0";"0,00";"0,00";"6,76";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,36069502";"0,00";"0,00";"0";"0,00000000";"1.396.101,25480191";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"NORONHA CD FIM";"SANT    ";"6,78";"0,00";"3.295.769,28";"0,00";"3.295.769,28";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"CUST2315";"";"0";"0";"0,00";"0,00";"8,94";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,10598782";"0,00";"0,00";"0";"0,00000000";"3.940.233,93303525";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"ITAU FEF CD FICFIA";"SANT    ";"8,97";"0,00";"4.357.850,74";"0,00";"4.357.850,74";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"TFBR0308";"";"0";"0";"0,00";"0,00";"0,47";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,57914690";"0,00";"0,00";"0";"0,00000000";"144.389,06923798";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"SCHR SUST ACOE G FIA";"BEMD    ";"0,47";"0,00";"228.011,55";"0,00";"228.011,55";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"TFBR0354";"";"0";"0";"0,00";"0,00";"10,72";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"119,24225850";"0,00";"0,00";"0";"0,00000000";"43.825,18524693";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"VINCI FI RF IMOBI II";"BEMD    ";"10,76";"0,00";"5.225.814,07";"0,00";"5.225.814,07";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"TFML2226";"";"0";"0";"0,00";"0,00";"0,78";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,25605384";"0,00";"0,00";"0";"0,00000000";"168.144,65764676";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"PIMCO INCOME FIM IE";"BNYMELLO";"0,78";"0,00";"379.343,40";"0,00";"379.343,40";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"Taxa de Custódia Apropriada";"Taxa de Custódia Apropriada";"-0,02";"-33,38";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,35";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"Resgate do Fundo PIMCO INCOME FIM IE [TFML2226]";"PIMCO INCOME FIM IE [TFML2226]";"100,07";"172.904,96";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"Despesa de Custo CETIP com pagamento 06/09/24";"Despesa de Custo CETIP com pagamento 06/09/24";"-0,05";"-90,66";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"Saldo em Tesouraria RESERVA";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"Saldo em Tesouraria";"";"100,00";"273,74";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"IPCA";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"613,75950250";"0,0886";"0,0172430";"0,1553";"3,1322";"1,9604";"4,3457";"0,0000";"0,0000";"0,00"
"CUST0347       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"IMA-B";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"226,56909049";"0,0591";"0,0467099";"1,9830";"3,2301";"3,2425";"7,1817";"0,0000";"0,0000";"0,00"
