REGIAO:;CO
UF:;GO
ESTACAO:;GOIAS
CODIGO (WMO):;A014
LATITUDE:;-15,93972221
LONGITUDE:;-50,14138888
ALTITUDE:;512,86
DATA DE FUNDACAO:;18/07/07
Data;Hora UTC;PRECIPITA��O TOTAL, HOR�RIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESS�O ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESS�O ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m�);TEMPERATURA DO AR - BULBO SECO, HORARIA (�C);TEMPERATURA DO PONTO DE ORVALHO (�C);TEMPERATURA M�XIMA NA HORA ANT. (AUT) (�C);TEMPERATURA M�NIMA NA HORA ANT. (AUT) (�C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (�C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (�C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIRE��O HORARIA (gr) (� (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;955,2;955,3;954,7;;21,9;20,9;22;21,7;21,1;20,7;94;94;94;87;1,6;0;
2023/01/01;0100 UTC;0;955,5;955,6;955,2;;21,7;20,6;22;21,6;21,1;20,5;95;93;94;45;,6;0;
2023/01/01;0200 UTC;0;955,2;955,6;955,2;;21,5;20,6;21,8;21,4;20,8;20,4;94;94;94;289;1,3;0;
2023/01/01;0300 UTC;0;954,8;955,2;954,7;;21,4;20,4;21,6;21,4;20,7;20,4;95;94;94;138;,8;0;
2023/01/01;0400 UTC;0;954,4;954,8;954,4;;21,4;20,4;21,7;21,4;20,7;20,3;94;94;94;92;1,9;0;
2023/01/01;0500 UTC;0;954;954,4;954;;21,4;20,2;21,6;21,3;20,5;20,1;94;92;93;54;3,3;0;
2023/01/01;0600 UTC;0;953,7;954;953,5;;21,2;20,2;21,5;21;20,4;20;94;93;94;129;1;0;
2023/01/01;0700 UTC;0;953,7;953,8;953,6;;21,3;20,4;21,3;21,1;20,4;20,1;94;94;94;85;,9;0;
2023/01/01;0800 UTC;0;953,4;953,7;953,4;;21,4;20,3;21,5;21,2;20,4;20,1;94;92;94;48;1,2;0;
2023/01/01;0900 UTC;0;953,9;953,9;953,4;18,8;21,1;20,1;21,4;21,1;20,3;20,1;94;93;94;198;0;0;
2023/01/01;1000 UTC;0;954,9;955;953,9;168,8;23;21,4;23;21,1;21,4;20,1;95;91;91;175;2,7;0;
2023/01/01;1100 UTC;0;955,5;955,5;954,9;1027,1;25,4;21,3;27;23;23,2;20,8;91;74;78;101;2,4;,4;
2023/01/01;1200 UTC;0;955,7;955,7;955,5;1380,4;27,9;22,9;27,9;25,3;22,9;20,4;78;70;75;112;4,6;,6;
2023/01/01;1300 UTC;0;955,9;955,9;955,7;2078,5;28,2;21,3;29,6;27,6;23,3;19,8;74;61;66;53;4,9;,3;
2023/01/01;1400 UTC;0;955,6;955,9;955,6;1913,1;28,3;20,8;29;27,6;21,8;20,5;68;62;64;15;4;1,3;
2023/01/01;1500 UTC;0;954,5;955,6;954,5;3802,7;30,7;21;30,8;28,3;22,1;20,2;67;56;56;9;5,4;2,4;
2023/01/01;1600 UTC;0;953,6;954,5;953,6;2874,3;29,5;19,8;32,1;29,4;22;19,2;58;51;56;73;6,1;1,7;
2023/01/01;1700 UTC;0;952,8;953,7;952,8;1478,4;30,3;20,9;30,7;29,4;22,2;19,3;65;53;57;79;3,4;,2;
2023/01/01;1800 UTC;0;952,1;952,8;952,1;2054,4;30,5;20,4;31,8;30,3;21,9;19,9;59;51;55;358;3,5;,8;
2023/01/01;1900 UTC;0;951,3;952,1;951,3;1428,2;32,1;21,7;32,1;29,2;21,9;20,3;62;52;54;271;4,2;,8;
2023/01/01;2000 UTC;0;951,5;951,5;951,1;1665,2;26,8;20,7;32,3;26,8;22,5;19,2;69;49;69;60;5,9;3,3;
2023/01/01;2100 UTC;,2;952,2;952,2;951,5;341,9;25,7;20,9;27,6;25,7;21,8;20,5;75;67;75;288;6,7;2;
2023/01/01;2200 UTC;0;953,1;953,1;952,2;20,5;24,2;21,4;25,7;24,2;21,5;20,8;85;75;85;81;4,1;,1;
2023/01/01;2300 UTC;0;953,4;953,4;953,1;;23,6;21,2;24,2;23,6;21,5;21,2;87;85;86;136;2,6;0;
2023/01/02;0000 UTC;0;954,3;954,3;953,4;;23,4;21,5;23,7;23,3;21,5;21,2;89;86;89;278;1,7;0;
2023/01/02;0100 UTC;0;954,6;954,6;954,2;;23;21,4;23,4;23;21,6;21,3;91;89;91;149;,6;0;
2023/01/02;0200 UTC;0;954,2;954,7;954,1;;22,6;21,1;23;22,6;21,4;20,9;91;89;91;207;1,4;0;
2023/01/02;0300 UTC;0;954,1;954,4;954,1;;22,7;21;22,7;22,4;21,1;20,8;92;90;90;288;1,2;0;
2023/01/02;0400 UTC;0;953,6;954,1;953,6;;22,5;21,2;22,7;22,4;21,2;20,7;92;90;92;178;,6;0;
2023/01/02;0500 UTC;0;953,3;953,6;953,3;;22,9;21,2;22,9;22,3;21,2;20,7;92;90;90;273;3,5;0;
2023/01/02;0600 UTC;1,6;953,7;953,7;953,3;;22,5;20,9;23,6;22,5;21,3;20,7;91;85;91;88;7,4;,8;
2023/01/02;0700 UTC;10,8;953,9;954,1;953,7;;20,8;19,3;22,5;20,8;20,9;19,1;91;84;91;38;9,1;1,2;
2023/01/02;0800 UTC;1,2;953,7;953,9;953,6;;20,7;19,6;21;20,7;19,7;19,3;93;91;93;159;5,7;,1;
2023/01/02;0900 UTC;0;953,7;953,7;953,3;9,2;20,7;19,7;20,8;20,6;19,8;19,5;94;93;94;154;1,8;0;
2023/01/02;1000 UTC;0;954,4;954,4;953,6;147,6;21,3;20,4;21,3;20,5;20,4;19,6;95;94;94;257;1,5;0;
2023/01/02;1100 UTC;0;954,7;954,7;954,4;747,8;23,7;21,4;23,8;21,2;21,9;20,2;95;87;87;341;2,8;,9;
2023/01/02;1200 UTC;0;954,8;955;954,7;1349,2;26,4;22;26,4;23,7;23,6;21,3;89;77;77;58;4,4;1,6;
2023/01/02;1300 UTC;0;954,8;954,9;954,7;1743,2;27,6;21,3;27,7;26,4;22,6;20,9;78;68;69;30;6,1;2,6;
2023/01/02;1400 UTC;0;954,3;954,8;954,3;1278,1;28,3;20,9;28,4;27,1;21,6;20,2;69;64;64;340;6,6;1,2;
2023/01/02;1500 UTC;0;953;954,3;953;1188,5;27,7;21,3;29,1;26,9;22,6;20,4;72;63;68;291;5,6;1,4;
2023/01/02;1600 UTC;0;952,5;953;952,5;1305;26,4;20,3;27,9;25,4;22,1;20,3;78;68;70;35;7,4;3,5;
2023/01/02;1700 UTC;,2;951,3;952,5;951,2;1293,4;24,7;21,8;26,3;24,2;22;19,5;85;68;84;28;7,4;2,4;
2023/01/02;1800 UTC;0;950,8;951,3;950,8;2761;27,1;20,7;27,9;24,7;22,8;20;84;65;68;40;6,9;3,3;
2023/01/02;1900 UTC;0;950,4;950,8;950;1266,3;26,9;20,9;27,6;26,9;21,3;20,4;70;66;70;30;6,7;2,9;
2023/01/02;2000 UTC;0;950,4;950,5;950,2;774,2;27,5;21;27,5;26,9;21,4;20,8;70;67;68;68;6;,1;
2023/01/02;2100 UTC;0;950,9;950,9;950,2;265,1;26,2;21,8;27,5;26,2;21,9;20,2;77;65;77;55;1,5;0;
2023/01/02;2200 UTC;0;951,8;951,8;950,9;18,8;24,7;21,8;26,2;24,7;22,2;21,6;84;77;84;77;2,4;0;
2023/01/02;2300 UTC;0;952,9;952,9;951,8;;24,5;21;25,1;24,4;22;21;85;80;81;312;10,5;1,1;
2023/01/03;0000 UTC;0;953,8;953,8;952,9;;23,9;20,9;24,5;23,9;21;20,8;83;81;83;299;4;,5;
2023/01/03;0100 UTC;0;954,3;954,3;953,7;;23,6;21,2;23,9;23,3;21,3;20,8;87;83;87;16;1,9;,1;
2023/01/03;0200 UTC;0;954;954,3;954;;23,4;21,3;23,7;23,4;21,5;21,1;88;86;88;31;1,6;,1;
2023/01/03;0300 UTC;0;953,4;954;953,4;;23,3;21,4;23,5;23,3;21,4;21,3;89;88;89;84;1,6;0;
2023/01/03;0400 UTC;0;952,9;953,4;952,9;;23;21,3;23,4;22,9;21,4;21,1;90;89;90;152;,9;0;
2023/01/03;0500 UTC;0;952,7;953;952,6;;22,4;21;23;22,4;21,3;21;92;90;92;22;0;0;
2023/01/03;0600 UTC;0;952,2;952,7;952,1;;22,3;21,1;22,5;22,3;21,3;21;93;92;93;114;0;0;
2023/01/03;0700 UTC;0;951,8;952,2;951,8;;22,3;21,1;22,4;22,3;21,3;21;93;93;93;44;1,4;,1;
2023/01/03;0800 UTC;0;952,2;952,2;951,8;;22,3;21,3;22,3;22,2;21,3;21,1;94;93;94;124;1,4;0;
2023/01/03;0900 UTC;0;952,9;953;952,2;13,4;22,1;21,2;22,3;22,1;21,3;21,1;94;94;94;18;0;0;
